Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Schottky","SOD-323",139.116975,-107.135590,-0.000000,bottom
"D2","Schottky","SOD-323",139.116975,-97.610590,-0.000000,bottom
"D3","Schottky","SOD-323",138.005725,-88.879340,-0.000000,bottom
"Q4","MOSFET-NCHANNEL","TDSON-8",139.434475,-112.056840,90.000000,bottom
"Q5","MOSFET-NCHANNEL","TDSON-8",132.131975,-113.644340,-0.000000,bottom
"Q6","MOSFET-NCHANNEL","TDSON-8",139.434475,-103.166840,90.000000,bottom
"Q7","MOSFET-NCHANNEL","TDSON-8",132.131975,-103.801840,-0.000000,bottom
"Q8","MOSFET-NCHANNEL","TDSON-8",139.434475,-93.324340,90.000000,bottom
"Q9","MOSFET-NCHANNEL","TDSON-8",132.131975,-93.959340,-0.000000,bottom
"R20","3.3K 1%","0603-RES",125.305725,-96.658090,-90.000000,bottom
"R33","10K NTC","0603-RES",136.259475,-98.086840,90.000000,bottom
"U$3","ACS7XX12-WFQFN","12-WFQFN",141.498225,-117.771840,-0.000000,bottom
"U$5","PAD18AWG","PAD-PTH-18AWG-1",125.832775,-114.304740,-90.000000,bottom
"U$6","PAD18AWG","PAD-PTH-18AWG-1",127.337725,-104.347940,90.000000,bottom
"U$7","PAD18AWG","PAD-PTH-18AWG-1",125.693075,-93.387840,-90.000000,bottom
